Mô tả vấn đề,Loại vấn đề,Nguồn,Lời khuyên,Loài,Hướng dẫn chăm sóc
Nghiên cứu barium được thực hiện để đánh giá khả năng vận động và loại trừ tắc nghẽn một phần.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Đánh giá cảm giác đau sâu ở các chi bị liệt.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thực hiện lịch xoay người thường xuyên và sử dụng đệm lót để ngăn ngừa loét do tì đè ở động vật nằm lâu.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Loại trừ các nguyên nhân ngoài đường tiêu hóa gây nôn mửa (bệnh thận, viêm tụy, nhiễm toan ceton do tiểu đường).",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Kỹ thuật Baermann được sử dụng để tìm ấu trùng giun phổi từ phân.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Nhấn mạnh cần điều trị đồng thời tất cả chó, mèo và chồn trong nhà để kiểm soát ngoại ký sinh trùng.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chồn của tôi gãi tai đến mức chảy máu.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chọc hút kim nhỏ (FNA) được thực hiện trên nốt da; kết quả tế bào học đang chờ.,Kích ứng da,Ghi chú lâm sàng,Không áp dụng,Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo có vẻ đau khi mở miệng rộng để ngáp.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Loại trừ rối loạn nội tiết (suy giáp, Cushing) gây ra các vấn đề da/tai mãn tính.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Sử dụng imidacloprid/moxidectin (Advantage Multi) để kiểm soát giun tim, bọ chét, ve và ký sinh trùng đường ruột.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Khuyên chủ nuôi theo dõi các dấu hiệu xấu đi (tăng đau, thiếu hụt thần kinh).",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cân nhắc giới thiệu đến bác sĩ da liễu thú y nếu không cải thiện.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi đột nhiên bị chướng bụng nghiêm trọng.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
